"{1.3333333333333333, 1.15, 12.29408974621568}","{1.3333333333333333, 1.25, 10.528474442437055}","{1.3333333333333333, 1.3499999999999999, 9.382676309602376}","{1.3333333333333333, 1.45, 8.534343401240461}","{1.3333333333333333, 1.5499999999999998, 7.863304026019322}","{1.3333333333333333, 1.65, 7.310961490762128}","{1.3333333333333333, 1.75, 6.844022117149485}","{1.3333333333333333, 1.85, 6.441615057623652}","{1.3333333333333333, 1.95, 6.089716771666436}","{1.3333333333333333, 2.05, 5.778428681727419}","{1.3333333333333333, 2.15, 1.9999999999899758}","{1.3333333333333333, 2.25, 5.250372991457622}","{1.3333333333333333, 2.35, 5.023835297258547}","{1.3333333333333333, 2.45, 4.817500265653377}","{1.3333333333333333, 2.55, 4.628639704184044}","{1.3333333333333333, 2.65, 4.455035920842182}","{1.3333333333333333, 2.75, 4.2948457053832225}","{1.3333333333333333, 2.85, 4.146533411551899}"
"{1.4333333333333333, 1.15, 9.588653942616684}","{1.4333333333333333, 1.25, 8.271149708786957}","{1.4333333333333333, 1.3499999999999999, 7.40602554536447}","{1.4333333333333333, 1.45, 6.759351553842433}","{1.4333333333333333, 1.5499999999999998, 6.243822957693538}","{1.4333333333333333, 1.65, 5.816775062909938}","{1.4333333333333333, 1.75, 5.4538818490323}","{1.4333333333333333, 1.85, 5.1398031172809455}","{1.4333333333333333, 1.95, 4.864192131889878}","{1.4333333333333333, 2.05, 4.61968960312157}","{1.4333333333333333, 2.15, 4.400860620690107}","{1.4333333333333333, 2.25, 4.203569936701516}","{1.4333333333333333, 2.35, 4.024592148901945}","{1.4333333333333333, 2.45, 3.8613552920294336}","{1.4333333333333333, 2.55, 3.711789381064009}","{1.4333333333333333, 2.65, 3.5741869615553536}","{1.4333333333333333, 2.75, 3.4471324527077516}","{1.4333333333333333, 2.85, 3.329435829106837}"
"{1.5333333333333332, 1.15, 7.805096330468092}","{1.5333333333333332, 1.25, 6.79421019139542}","{1.5333333333333332, 1.3499999999999999, 6.121056459562664}","{1.5333333333333332, 1.45, 5.611627173577941}","{1.5333333333333332, 1.5499999999999998, 5.201195250260126}","{1.5333333333333332, 1.65, 4.8582054191088515}","{1.5333333333333332, 1.75, 4.564622356231679}","{1.5333333333333332, 1.85, 4.309030616628313}","{1.5333333333333332, 1.95, 4.08365188975649}","{1.5333333333333332, 2.05, 3.8829197530281125}","{1.5333333333333332, 2.15, 3.702680739956273}","{1.5333333333333332, 2.25, 3.539745468208147}","{1.5333333333333332, 2.35, 3.3916075792975544}","{1.5333333333333332, 2.45, 3.2562580721072565}","{1.5333333333333332, 2.55, 3.1320587115058074}","{1.5333333333333332, 2.65, 3.017659931961148}","{1.5333333333333332, 2.75, 2.9119316004296647}","{1.5333333333333332, 2.85, 2.8139231232432373}"
"{1.6333333333333333, 1.15, 6.418669430883957}","{1.6333333333333333, 1.25, 5.668434019977464}","{1.6333333333333333, 1.3499999999999999, 5.159650603970246}","{1.6333333333333333, 1.45, 4.76620022419053}","{1.6333333333333333, 1.5499999999999998, 4.442603048669493}","{1.6333333333333333, 1.65, 4.167395530491732}","{1.6333333333333333, 1.75, 3.9284711579229854}","{1.6333333333333333, 1.85, 3.718123925091049}","{1.6333333333333333, 1.95, 3.530997808470185}","{1.6333333333333333, 2.05, 3.3631663789893045}","{1.6333333333333333, 2.15, 3.2116251798398934}","{1.6333333333333333, 2.25, 7.7369271546453575}","{1.6333333333333333, 2.35, 2.9484598149591847}","{1.6333333333333333, 2.45, 2.833405729223879}","{1.6333333333333333, 2.55, 2.727582764268925}","{1.6333333333333333, 2.65, 2.6299270761486118}","{1.6333333333333333, 2.75, 2.5395409847904284}","{1.6333333333333333, 2.85, 2.4556613420909823}"
